smiles,output_class,output_reg,compound_id,parent_chemblid,target_protein_id,target_chembl_id,uniprot_id,count,parent_pref_name,max_phase,first_approval,usan_year
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCNS(=O)(=O)N1CCOCC1)NO,1.0；0.999938；1.0；0.69397885；1.0；0.6122757；0.98758477；0.99555606；1.0；0.70786685；1.0；1.0；0.99995077；0.87429506；0.99772674；0.99812335；0.9727396；0.8206409；0.7826215；0.95693797,9.126485；9.330387；9.721639；9.708899；9.496321；9.428461；9.147852；9.230527；9.169607；9.224112；10.113651；9.535631；9.265923；9.148329；9.4783745；9.292935；9.299612；9.723421；9.153074；9.274618,d062865,CHEMBL91655,tp0059；tp0082；tp0166；tp0227；tp0228；tp0251；tp0311；tp0340；tp0368；tp0372；tp0408；tp0409；tp0410；tp0413；tp0430；tp0463；tp0485；tp0539；tp0713；tp0778,CHEMBL2051；CHEMBL244；CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL2001；CHEMBL274；CHEMBL2366517；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1907599;CHEMBL278；CHEMBL2094135;CHEMBL3708；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798；CHEMBL2063；CHEMBL2434,P03468；P00742；P14780；P32297;P32297；P45452；P43166；Q9H244；P51681；Q9YQ12；P31213；P22894；P39900；P13612;P13612；P49810;P49810；P30874；Q9H228；P29371；Q9Y271；Q16739；P25025,20,,,,
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCC(=O)NCCNS(=O)(=O)N1CCOCC1)NO,1.0；0.99956924；1.0；0.6573281；1.0；0.5929413；0.98599243；0.9960772；0.9999998；0.6710682；1.0；1.0；0.99973047；0.80751467；0.9988028；0.98982894；0.96181995；0.80639285；0.759338；0.8900132,9.167267；9.424764；9.740553；9.761432；9.473089；9.497455；9.136274；9.258929；9.227962；9.245508；10.110536；9.524149；9.238505；9.218275；9.531021；9.316233；9.3012295；9.740091；9.175356；9.233851,d025422,CHEMBL264859,tp0059；tp0082；tp0166；tp0227；tp0228；tp0251；tp0311；tp0340；tp0368；tp0372；tp0408；tp0409；tp0410；tp0413；tp0430；tp0463；tp0485；tp0539；tp0713；tp0778,CHEMBL2051；CHEMBL244；CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL2001；CHEMBL274；CHEMBL2366517；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1907599;CHEMBL278；CHEMBL2094135;CHEMBL3708；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798；CHEMBL2063；CHEMBL2434,P03468；P00742；P14780；P32297;P32297；P45452；P43166；Q9H244；P51681；Q9YQ12；P31213；P22894；P39900；P13612;P13612；P49810;P49810；P30874；Q9H228；P29371；Q9Y271；Q16739；P25025,20,,,,
COC(=O)CCNC(=O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.72154784；0.99999887；0.5971449；0.9993227；0.7998681；1.0；0.9999992；0.99415237；0.998304；0.8835613；0.8011569；0.766423,9.800046；10.07472；9.291578；9.247624；9.212372；9.092993；9.910969；9.423198；9.262952；9.312926；9.013222；9.619982；9.172972,d025572,CHEMBL308533,tp0166；tp0227；tp0228；tp0251；tp0340；tp0372；tp0408；tp0409；tp0430；tp0463；tp0485；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P43166；P51681；P31213；P22894；P39900；P30874；Q9H228；P29371；Q9Y271；Q16739,13,,,,
O=C(O)CCNC(=O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.6870179；0.9999989；0.5881575；0.9987402；0.79921603；1.0；1.0；0.98327845；0.9915886；0.8015245；0.65497196,9.453663；10.08774；9.168033；9.043404；9.084948；9.055944；9.759266；9.261759；9.056531；9.201881；9.513222；9.0791,d025485,CHEMBL76158,tp0166；tp0227；tp0228；tp0251；tp0340；tp0372；tp0408；tp0409；tp0430；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P43166；P51681；P31213；P22894；P39900；P30874；Q9H228；Q9Y271；Q16739,12,,,,
COC(=O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.7662129；0.9999998；0.600398；0.9997115；0.8000355；1.0；0.9999992；0.9974087；0.99989617；0.8035448；0.7877805,9.746804；10.03846；9.31563；9.221715；9.186905；9.127311；9.853563；9.429633；9.175192；9.320089；9.660509；9.179302,d062941,CHEMBL92828,tp0166；tp0227；tp0228；tp0251；tp0340；tp0372；tp0408；tp0409；tp0430；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P43166；P51681；P31213；P22894；P39900；P30874；Q9H228；Q9Y271；Q16739,12,,,,
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCC(=O)NCCC(=O)N1CCOCC1)NO,1.0；0.7082254；0.9999877；0.53653246；0.97122794；1.0；0.9999997；0.9900171；0.80219346；0.9857403；0.8000077；0.7042985,9.60176；9.942756；9.340767；9.23406；9.256411；9.926547；9.251076；9.402739；9.122534；9.0153475；9.803581；9.039656,d025625,CHEMBL306608,tp0166；tp0227；tp0228；tp0251；tp0340；tp0408；tp0409；tp0430；tp0463；tp0485；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P43166；P51681；P22894；P39900；P30874；Q9H228；P29371；Q9Y271；Q16739,12,,,,
CN(C)CCCCNC(=O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.99346143；0.9048583；0.99999696；0.9993453；1.0；0.9999999；0.97975796；0.9960992；0.8003911；0.9745445,9.597784；9.060839；9.973239；9.069109；9.171526；9.764177；9.244169；9.290337；9.397425；9.593736；9.1221695,d025530,CHEMBL77659,tp0166；tp0174；tp0227；tp0228；tp0340；tp0408；tp0409；tp0430；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL211；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL274；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P08172；P32297;P32297；P45452；P51681；P22894；P39900；P30874；Q9H228；Q9Y271；Q16739,11,,,,
CCCCCCN(C)CNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1cc(C(C)C)nc(NCc2nonc2C)c1=O,0.5359031；0.93022346；0.92425317；0.50817853；0.87857103；0.9990877；0.99840325；0.8621845；0.928757；0.7039337；0.70144516,9.285375；9.018363；9.265665；9.001101；9.068228；9.000002；9.388901；9.24407；9.006808；9.511047；9.32486,d283151,CHEMBL180646,tp0077；tp0084；tp0176；tp0372；tp0430；tp0463；tp0539；tp0589；tp0615；tp0658；tp0713,CHEMBL1821；CHEMBL204；CHEMBL1628481；CHEMBL1856；CHEMBL1804；CHEMBL2274；CHEMBL1798；CHEMBL5957；CHEMBL2820；CHEMBL250；CHEMBL2063,P08173；P00734；P35414；P31213；P30874；Q9H228；Q9Y271；P21589；P03951；P25105；Q16739,11,,,,
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCC(=O)NCCCCN1CCOCC1)NO,1.0；0.80164766；0.99976504；0.99504995；1.0；0.999998；0.99242795；0.8102125；0.992408；0.79983103；0.9267076,9.702426；9.642501；9.203573；9.363426；9.834987；9.230968；9.435839；9.282354；9.024174；9.683794；9.174454,d025556,CHEMBL74308,tp0166；tp0227；tp0228；tp0340；tp0408；tp0409；tp0430；tp0463；tp0485；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL274；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P51681；P22894；P39900；P30874；Q9H228；P29371；Q9Y271；Q16739,11,,,,
O=C(O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.7425692；0.9999999；0.6008406；0.9995934；0.7998683；1.0；1.0；0.9994748；0.803525；0.7595396,9.411272；10.058871；9.174757；9.0170765；9.057378；9.077615；9.710726；9.271115；9.207372；9.492014；9.088906,d064073,CHEMBL93395,tp0166；tp0227；tp0228；tp0251；tp0340；tp0372；tp0408；tp0409；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P43166；P51681；P31213；P22894；P39900；Q9H228；Q9Y271；Q16739,11,,,,
Cc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCC(=O)NCCNS(=O)(=O)N2CCOCC2)cc1,1.0；1.0；0.6713047；1.0；0.60124093；1.0；1.0；0.9963258；0.9635416；0.9784492；0.8051714,9.009361；9.534932；9.570737；9.301256；9.329557；9.872161；9.453441；9.32296；9.008579；9.131963；9.528224,d025444,CHEMBL306947,tp0059；tp0166；tp0227；tp0228；tp0251；tp0408；tp0409；tp0430；tp0463；tp0485；tp0539,CHEMBL2051；CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL4429；CHEMBL1798,P03468；P14780；P32297;P32297；P45452；P43166；P22894；P39900；P30874；Q9H228；P29371；Q9Y271,11,,,,
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCC(=O)N1CCOCC1)NO,1.0；0.70436937；0.9999963；0.56390446；0.9936048；1.0；1.0；0.9934734；0.8093522；0.8000353,9.508238；9.837151；9.325941；9.114018；9.242378；9.826217；9.254866；9.35455；9.126089；9.805475,d062955,CHEMBL93235,tp0166；tp0227；tp0228；tp0251；tp0340；tp0408；tp0409；tp0430；tp0463；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL274；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798,P14780；P32297;P32297；P45452；P43166；P51681；P22894；P39900；P30874；Q9H228；Q9Y271,10,,,,
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCCCN1CCOCC1)NO,1.0；0.92450845；0.99995995；0.9995756；1.0；0.9999998；0.9985096；0.84530526；0.79983664；0.9898844,9.6501465；9.651524；9.172888；9.315231；9.769114；9.249804；9.420797；9.338324；9.685529；9.11309,d062950,CHEMBL93695,tp0166；tp0227；tp0228；tp0340；tp0408；tp0409；tp0430；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL274；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P51681；P22894；P39900；P30874；Q9H228；Q9Y271；Q16739,10,,,,
CN(C)CCCCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccc(Cl)cc1)CC(=O)NO,1.0；0.98422015；0.99999917；0.9998539；1.0；1.0；0.9944339；0.99900055；0.80065453；0.9964007,9.538902；10.002702；9.067099；9.190004；9.729744；9.237723；9.236963；9.481825；9.576428；9.116295,d062900,CHEMBL327472,tp0166；tp0227；tp0228；tp0340；tp0408；tp0409；tp0430；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL274；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P45452；P51681；P22894；P39900；P30874；Q9H228；Q9Y271；Q16739,10,,,,
NS(=O)(=O)c1ccc(CCNC(=O)CCNC(=O)[C@H](CC2CCCCC2)NC(=O)[C@H](CCCc2ccc(Cl)cc2)CC(=O)NO)cc1,1.0；0.59388244；1.0；0.9498631；0.77250373；1.0；1.0；0.9996973；0.81301326,9.4965315；9.383341；9.199694；9.021927；9.007988；9.706294；9.36217；9.238021；9.151359,d025445,CHEMBL422058,tp0166；tp0227；tp0228；tp0251；tp0372；tp0408；tp0409；tp0463；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL2274；CHEMBL1798,P14780；P32297;P32297；P45452；P43166；P31213；P22894；P39900；Q9H228；Q9Y271,9,,,,
NS(=O)(=O)c1ccc(CCNC(=O)[C@H](CC2CCCCC2)NC(=O)[C@H](CCCc2ccc(Cl)cc2)CC(=O)NO)cc1,1.0；0.5849006；1.0；0.7881808；1.0；1.0；0.9927971；0.9999541；0.84687006,9.435185；9.341085；9.243802；9.067433；9.682391；9.388828；9.037138；9.160156；9.171656,d063239,CHEMBL92600,tp0166；tp0227；tp0228；tp0372；tp0408；tp0409；tp0410；tp0463；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL1856；CHEMBL4588；CHEMBL4393；CHEMBL1907599;CHEMBL278；CHEMBL2274；CHEMBL1798,P14780；P32297;P32297；P45452；P31213；P22894；P39900；P13612;P13612；Q9H228；Q9Y271,9,,,,
Cc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCNS(=O)(=O)N2CCOCC2)cc1,1.0；0.6830286；1.0；0.61513424；1.0；1.0；0.9936657；0.9744855；0.8133712,9.52348；9.52703；9.316445；9.263529；9.860521；9.445073；9.266072；9.125109；9.50878,d063030,CHEMBL93583,tp0166；tp0227；tp0228；tp0251；tp0408；tp0409；tp0430；tp0485；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL2326；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL4429；CHEMBL1798,P14780；P32297;P32297；P45452；P43166；P22894；P39900；P30874；P29371；Q9Y271,9,,,,
CCCCCCN(C)CNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1ccnc(NCc2nonc2C)c1=O,0.96934986；0.505785；0.6664077；0.9311905；0.785756；0.99200976；0.5196764；0.65107715,9.17341；9.30358；9.061976；9.406024；9.100241；9.125998；9.194082；9.04747,d283060,CHEMBL359598,tp0084；tp0372；tp0485；tp0539；tp0589；tp0615；tp0658；tp0713,CHEMBL204；CHEMBL1856；CHEMBL4429；CHEMBL1798；CHEMBL5957；CHEMBL2820；CHEMBL250；CHEMBL2063,P00734；P31213；P29371；Q9Y271；P21589；P03951；P25105；Q16739,8,,,,
Cc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCCCN2CCOCC2)cc1,1.0；0.88287985；0.9999962；1.0；1.0；0.9985887；0.9312624；0.80005294,9.500938；9.501112；9.11453；9.504958；9.263891；9.201044；9.029066；9.53468,d062853,CHEMBL94114,tp0166；tp0227；tp0228；tp0408；tp0409；tp0430；tp0463；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798,P14780；P32297;P32297；P45452；P22894；P39900；P30874；Q9H228；Q9Y271,8,,,,
COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC(C(=O)O[C@H]3CN4CCC3CC4)c3ccccc3)s2)cc1OC,1.0；0.9927575；0.99999845；0.90863717；0.9998908；0.83873427；0.9997488；0.99999505,9.637；9.090574；9.026362；9.188296；9.335408；9.070079；9.218435；9.289334,d251415,CHEMBL5074599,tp0077；tp0084；tp0153；tp0183；tp0430；tp0539；tp0633；tp0713,CHEMBL1821；CHEMBL204；CHEMBL2094109;CHEMBL2035；CHEMBL2093863;CHEMBL291；CHEMBL1804；CHEMBL1798；CHEMBL3798;CHEMBL2107838；CHEMBL2063,P08173；P00734；P08912;P08912；Q08493;Q08493；P30874；Q9Y271；Q16602;Q16602；Q16739,8,,,,
COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC(C(=O)O[C@H]3CN4CCC3CC4)c3ccccc3F)s2)cc1OC,1.0；0.9843375；0.8589057；0.99796975；0.999781；0.8228982；0.9992126；0.99998057,9.587057；9.097171；9.229238；9.032962；9.375088；9.171659；9.327242；9.361092,d251915,CHEMBL5076637,tp0077；tp0084；tp0183；tp0207；tp0430；tp0539；tp0633；tp0713,CHEMBL1821；CHEMBL204；CHEMBL2093863;CHEMBL291；CHEMBL210；CHEMBL1804；CHEMBL1798；CHEMBL3798;CHEMBL2107838；CHEMBL2063,P08173；P00734；Q08493;Q08493；P07550；P30874；Q9Y271；Q16602;Q16602；Q16739,8,,,,
Cc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCC(=O)NCCN2CCOCC2)cc1,1.0；0.73580384；0.99999934；1.0；1.0；0.9973294；0.8003236,9.61658；9.592699；9.24172；9.6553545；9.334287；9.202538；9.573042,d025557,CHEMBL306033,tp0166；tp0227；tp0228；tp0408；tp0409；tp0430；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL1798,P14780；P32297;P32297；P45452；P22894；P39900；P30874；Q9Y271,7,,,,
Cc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCC(=O)NCCCCN2CCOCC2)cc1,1.0；0.75280714；0.999979；1.0；0.99999917；0.9927961；0.80001086,9.568236；9.504427；9.13338；9.564395；9.247732；9.228719；9.528313,d025531,CHEMBL77663,tp0166；tp0227；tp0228；tp0408；tp0409；tp0430；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL1798,P14780；P32297;P32297；P45452；P22894；P39900；P30874；Q9Y271,7,,,,
Cc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCC(=O)NCCCCN(C)C)cc1,1.0；0.8230483；1.0；1.0；0.9906111；0.9959461；0.80235016,9.309948；9.8425255；9.413031；9.170015；9.039929；9.047858；9.358498,d025819,CHEMBL77057,tp0166；tp0227；tp0408；tp0409；tp0430；tp0463；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798,P14780；P32297;P32297；P22894；P39900；P30874；Q9H228；Q9Y271,7,,,,
Cc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCCCN(C)C)cc1,1.0；0.9428201；1.0；1.0；0.9969589；0.99872553；0.80338556,9.23474；9.867431；9.3749485；9.17906；9.010979；9.138948；9.360614,d062956,CHEMBL93791,tp0166；tp0227；tp0408；tp0409；tp0430；tp0463；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL2274；CHEMBL1798,P14780；P32297;P32297；P22894；P39900；P30874；Q9H228；Q9Y271,7,,,,
Cc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCN2CCOCC2)cc1,1.0；0.8972305；0.9999999；1.0；1.0；0.9988287；0.8011522,9.515966；9.57854；9.191761；9.55576；9.334345；9.131929；9.55051,d062951,CHEMBL328092,tp0166；tp0227；tp0228；tp0408；tp0409；tp0430；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL4588；CHEMBL4393；CHEMBL1804；CHEMBL1798,P14780；P32297;P32297；P45452；P22894；P39900；P30874；Q9Y271,7,,,,
CCCCCCN(C)CNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1cc(CC)nc(NCc2nonc2C)c1=O,0.97382957；0.5070059；0.79626924；0.9973669；0.8016181；0.66301495；0.7144712,9.09272；9.087521；9.000668；9.527156；9.194411；9.434092；9.318956,d283139,CHEMBL369290,tp0084；tp0372；tp0433；tp0539；tp0589；tp0658；tp0713,CHEMBL204；CHEMBL1856；CHEMBL4427；CHEMBL1798；CHEMBL5957；CHEMBL250；CHEMBL2063,P00734；P31213；Q13258；Q9Y271；P21589；P25105；Q16739,7,,,,
CCCCCCN(C)CNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1cc(C(C)(CC)CC)nc(NCc2nonc2C)c1=O,0.68225867；0.53096807；0.9996557；0.8692204；0.8967231；0.51975864；0.5745363,9.03136；9.106291；9.332682；9.325091；9.091249；9.082386；9.204961,d283157,CHEMBL362074,tp0433；tp0485；tp0539；tp0589；tp0633；tp0658；tp0713,CHEMBL4427；CHEMBL4429；CHEMBL1798；CHEMBL5957；CHEMBL3798;CHEMBL2107838；CHEMBL250；CHEMBL2063,Q13258；P29371；Q9Y271；P21589；Q16602;Q16602；P25105；Q16739,7,,,,
CCCCCCCCN(C)CNCC(=O)[C@H](CC(=O)O)NC(=O)C(CC)n1ccnc(NCc2nonc2C)c1=O,0.96346986；0.58787835；0.61825055；0.97141725；0.73405445；0.982327；0.50311494,9.159748；9.288184；9.067241；9.4788；9.00409；9.060681；9.201225,d283124,CHEMBL178514,tp0084；tp0372；tp0485；tp0539；tp0589；tp0615；tp0658,CHEMBL204；CHEMBL1856；CHEMBL4429；CHEMBL1798；CHEMBL5957；CHEMBL2820；CHEMBL250,P00734；P31213；P29371；Q9Y271；P21589；P03951；P25105,7,,,,
O=C(C[C@@H](CCCc1ccc(Cl)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCc1ccccc1)NO,1.0；0.9903964；1.0；1.0；0.9999987；0.81464326；0.9794183,9.191454；9.830893；9.507375；9.08669；9.297404；9.4240265；9.018133,d025439,CHEMBL311397,tp0166；tp0227；tp0408；tp0409；tp0463；tp0539；tp0713,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL4588；CHEMBL4393；CHEMBL2274；CHEMBL1798；CHEMBL2063,P14780；P32297;P32297；P22894；P39900；Q9H228；Q9Y271；Q16739,7,,,,
COc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCc2ccccc2)cc1,1.0；0.999612；1.0；1.0；1.0；0.98181325,9.134682；9.666639；9.289166；9.093513；9.147616；9.4014225,d025516,CHEMBL310037,tp0166；tp0227；tp0408；tp0409；tp0463；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL4588；CHEMBL4393；CHEMBL2274；CHEMBL1798,P14780；P32297;P32297；P22894；P39900；Q9H228；Q9Y271,6,,,,
Cc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,1.0；0.5099578；1.0；1.0；1.0；0.8680601,9.187027；9.189148；9.0809355；9.352118；9.212969；9.099495,d062954,CHEMBL92453,tp0166；tp0227；tp0228；tp0408；tp0409；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL4588；CHEMBL4393；CHEMBL1798,P14780；P32297;P32297；P45452；P22894；P39900；Q9Y271,6,,,,
N/C(=N\C(=O)NCCCCCCNC(=O)/N=C(\N)NCCCc1nnc(N)s1)NCCCc1nnc(N)s1,0.73891777；0.9866212；0.97472394；0.8891734；0.95748746；0.9879855,9.081154；9.156734；9.708994；9.651781；9.447159；9.633829,d269609,CHEMBL5221444,tp0038；tp0076；tp0077；tp0153；tp0173；tp0174,CHEMBL223；CHEMBL216；CHEMBL1821；CHEMBL2094109;CHEMBL2035；CHEMBL245；CHEMBL211,P25100；P11229；P08173；P08912;P08912；P20309；P08172,6,,,,
Cc1ccc(CCC[C@H](CC(=O)NO)C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCC(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1,1.0；0.56741273；1.0；1.0；1.0；0.82630044,9.266932；9.280246；9.037935；9.411634；9.193171；9.0688,d025624,CHEMBL74040,tp0166；tp0227；tp0228；tp0408；tp0409；tp0539,CHEMBL321；CHEMBL1907594;CHEMBL3068；CHEMBL280；CHEMBL4588；CHEMBL4393；CHEMBL1798,P14780；P32297;P32297；P45452；P22894；P39900；Q9Y271,6,,,,
N/C(=N\C(=O)NCCCCCCCCNC(=O)/N=C(\N)NCCCc1nnc(N)s1)NCCCc1nnc(N)s1,0.7342694；0.98807937；0.9758749；0.89472926；0.96294135；0.9928223,9.102575；9.199034；9.764146；9.693182；9.490893；9.67898,d269604,CHEMBL5221433,tp0038；tp0076；tp0077；tp0153；tp0173；tp0174,CHEMBL223；CHEMBL216；CHEMBL1821；CHEMBL2094109;CHEMBL2035；CHEMBL245；CHEMBL211,P25100；P11229；P08173；P08912;P08912；P20309；P08172,6,,,,
C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2cccc(C(=O)N[C@H]3CCS(=O)(=O)C3)c2)c1)c1ccc2c(c1)OCCO2,0.9629626；0.9621847；0.65718836；0.970836；0.8962072；0.81666243,9.425461；9.4324875；9.3073845；9.172019；9.562657；9.512382,d134994,CHEMBL3666804,tp0013；tp0075；tp0430；tp0589；tp0633；tp0713,CHEMBL249；CHEMBL254；CHEMBL1804；CHEMBL5957；CHEMBL3798;CHEMBL2107838；CHEMBL2063,P25103；P27815；P30874；P21589；Q16602;Q16602；Q16739,6,,,,
C[C@H](NC(=O)C(C)(F)F)[C@H](Oc1ccc2c(cnn2-c2cccc(C(=O)N[C@@H]3CCS(=O)(=O)C3)c2)c1)c1ccc2c(c1)OCCO2,0.9629626；0.96218455；0.6571888；0.970836；0.8962075；0.8166625,9.425461；9.432487；9.307384；9.172019；9.562658；9.512382,d134995,CHEMBL3666805,tp0013；tp0075；tp0430；tp0589；tp0633；tp0713,CHEMBL249；CHEMBL254；CHEMBL1804；CHEMBL5957；CHEMBL3798;CHEMBL2107838；CHEMBL2063,P25103；P27815；P30874；P21589；Q16602;Q16602；Q16739,6,,,,
