smiles,output_class,output_reg,compound_id,parent_chemblid,target_protein_id,target_chembl_id,uniprot_id,count,parent_pref_name,max_phase,first_approval,usan_year
CN1Cc2cncn2Cc2ccc(C#N)c(c2)Oc2ccc3cccc(c3c2)N2CC[C@H]1C2=O,0.9992819,9.12122,d365132,CHEMBL497048,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)NC(=O)c2ccc(N3CCN(c4cccc(-c5c(-c6ccc(Cl)cc6)cn(CC[C@H](O)CO)c5C(=O)NCCCN5CCN(C)CC5)c4)CC3)cc2)cc1[N+](=O)[O-],0.99999887,9.485907,d045667,CHEMBL2063882,tp0430,CHEMBL1804,P30874,1,,,,
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(N3CCN(c4ccc(-c5c(-c6ccc(Cl)cc6)cn(CC[C@H](O)CO)c5C(=O)NCCCN5CCN(C)CC5)cc4)CC3)cc2)cc1[N+](=O)[O-],0.99999905,9.134201,d045673,CHEMBL2063888,tp0430,CHEMBL1804,P30874,1,,,,
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(-c6ccc(Cl)cc6)cn(C)c5C(=O)O)c4)CC3)cc2)cc1[N+](=O)[O-],0.99990094,9.065321,d045680,CHEMBL2063896,tp0206,CHEMBL246;CHEMBL2094118;CHEMBL2331074,P13945;P13945;P13945,1,,,,
CC(C)CNC(=O)c1ccc(-c2ccc(-c3ccco3)cc2C(=O)Nc2ccc(C(=N)N)cc2)c(C(=O)O)c1,0.81171787,9.594767,d365031,CHEMBL505455,tp0430,CHEMBL1804,P30874,1,,,,
CN(C)CC[C@H](CSc1ccccc1)Nc1ccc(S(=O)(=O)Nc2ccc(N3CCN(c4cccc(-c5c(-c6ccc(Cl)cc6)cn(CC[C@H](O)CO)c5C(=O)NCCCN5CCN(C)CC5)c4)CC3)cc2)cc1[N+](=O)[O-],0.9999987,9.061358,d045668,CHEMBL2063883,tp0430,CHEMBL1804,P30874,1,,,,
COc1ccc2ncc(F)c(CCC34CCC(NCc5nc6c(c(C)c5F)OCC(=O)N6)(CC3)CO4)c2n1,0.78839505,9.00952,d129363,CHEMBL3604798,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
COc1ccc2ncc(F)c(CCC34CCC(NCc5nc6c(cc5C)OCC(=O)N6)(CC3)CO4)c2n1,0.73458284,9.072658,d129288,CHEMBL3604690,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
CNC(=O)[C@@H](NC(=O)[C@H](CCCCOc1ccc(C)cc1)CC(=O)NO)C(C)(C)C,1.0,9.009142,d050360,CHEMBL314251,tp0137,CHEMBL333,P08253,1,,,,
Cc1cc(S(C)(=O)=O)nc2c(CCC34CCC(NCc5ccc6c(n5)NC(=O)CO6)(CC3)CO4)c(F)cnc12,0.67224073,9.680811,d120392,CHEMBL3422958,tp0633,CHEMBL3798;CHEMBL2107838,Q16602;Q16602,1,,,,
Cc1cc(NC(=O)CCN2CCC(OC(=O)Nc3ccccc3-c3ccccc3)CC2)ccc1CNC[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12,1.0,9.144772,d121038,CHEMBL3426694,tp0430,CHEMBL1804,P30874,1,,,,
COc1cccc(OC)c1C(C)NS(N)(=O)=O,0.99351776,9.499112,d126582,CHEMBL3585784,tp0530,CHEMBL1946;CHEMBL2094268,P49286;P49286,1,,,,
Cc1cc(CNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)ccc1NC(=O)CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1,1.0,9.173102,d121037,CHEMBL3426693,tp0430,CHEMBL1804,P30874,1,,,,
CCc1c(-c2ccc(Cl)cc2)c(-c2cccc(N3CCN(c4ccc(NS(=O)(=O)c5ccc(N[C@H](CCN(C)C)CSc6ccccc6)c([N+](=O)[O-])c5)cc4)CC3)c2)c(C(=O)O)n1C,0.96392953,9.04928,d045681,CHEMBL2063897,tp0430,CHEMBL1804,P30874,1,,,,
